0,1000,12594.8,7676.6,0.8
0,5000,91302.0,50821.0,2.6
0,10000,205915.0,129155.0,5.2
0,50000,1242938.0,724052.0,29.0
0,100000,3240996.0,1639630.0,60.0
0,500000,15377300.0,10342342.0,296.6
1,1000,7868.8,11902.4,2.0
1,5000,49908.0,74494.0,5.0
1,10000,105863.0,188733.0,10.0
1,50000,616416.4,1152960.0,51.8
1,100000,1392556.0,2564040.0,104.4
1,500000,8887756.0,16037500.0,553.2
2,1000,10058.6,13641.8,2.6
2,5000,62416.0,80902.0,6.4
2,10000,138756.0,204178.0,13.0
2,50000,828837.0,1149438.0,63.0
2,100000,1523156.0,2312068.0,120.6
2,500000,9317320.0,15177140.0,627.4
3,1000,10955.4,6462.2,0.6
3,5000,83315.0,43974.0,2.4
3,10000,151181.0,90123.0,5.2
3,50000,1027127.2,558825.8,29.0
3,100000,2077782.0,1138728.0,57.4
3,500000,11886800.0,6626870.0,289.4
4,1000,11901.4,6932.4,0.6
4,5000,66698.0,41340.0,2.6
4,10000,171283.0,98989.0,5.6
4,50000,983097.2,535767.6,28.6
4,100000,2061210.0,1161486.0,57.2
4,500000,12030260.0,6537874.0,290.8
